time,temp
0,23.5
0.167,23.9
0.333,24.6
0.5,25.3
0.667,26.0
0.833,26.6
1,27.0
2,29.1
3,30.3
4,31.0
5,31.4
6,31.8
7,32.0
8,32.2
9,32.3
10,32.4
11,32.4
12,32.4
13,32.5
14,32.5
15,32.5
16,32.4
17,32.4
18,32.3
19,32.3
20,32.2
21,32.2
22,32.2
23,32.1
24,32.1
25,32.0
